Date,Open,High,Low,Close,Volume
2019-12-31,71.75467688757888,72.68276313296889,71.65320521841534,72.67533874511719,100805600
2020-01-02,73.3163250530236,74.39538375959914,73.05646396448488,74.33351135253906,135480400
2020-01-03,73.54154304851478,74.39043067834233,73.38067629737418,73.61083984375,146322800
2020-01-06,72.70998763852474,74.23699457572211,72.45259628331918,74.19739532470703,118387200
2020-01-07,74.20729754715829,74.46963597829003,73.62322558434722,73.84844207763672,108872000
2020-01-08,73.54402235489995,75.3457466326296,73.54402235489995,75.03638458251953,132079200
2020-01-09,76.03871464042719,76.82820719691152,75.78133085261629,76.63021850585938,170108400
2020-01-10,76.87028620624604,77.38259159045356,76.28868402268566,76.80345916748047,140644800
2020-01-13,77.1276814249439,78.47154846881465,77.00640635540287,78.44432067871094,121532000
2020-01-14,78.37997641388048,78.59529120433515,77.25884858378717,77.38506317138672,161954400
2020-01-15,77.1796507914472,78.08298652596076,76.61042005055371,77.05342864990234,121923600
2020-01-16,77.61027458974596,78.13248165280633,77.23904013314937,78.01863098144531,108829200
2020-01-17,78.27354008656016,78.88483975544591,77.959230985399,78.88236999511719,137816400
2020-01-21,78.50124358480403,78.95414632625433,78.20673029371567,78.3478012084961,110843200
2020-01-22,78.84524884062175,79.19421015109624,78.53093970624963,78.6274642944336,101832400
2020-01-23,78.68190795730239,79.08778703060912,78.12010165296385,79.00611877441406,104472000
2020-01-24,79.25856530829839,80.02083015415818,78.58291580306104,78.77843475341797,146537600
2020-01-27,76.73663920361774,77.15984438443053,75.45464464718131,76.46192932128906,161940000
2020-01-28,77.36527088060714,78.80070791818241,77.2637992115035,78.62499237060547,162234000
2020-01-29,80.29801788834203,81.13948116603778,79.53822286981031,80.27079010009766,216229200
2020-01-30,79.33033513348623,80.2089203766027,78.88732654181285,80.15447235107422,126743200
2020-01-31,79.42684459861029,79.85995144814052,76.2985796243082,76.60051727294922,199588400
2020-02-03,75.3111007584246,77.58553134534199,74.79632558719902,76.3901596069336,173985600
2020-02-04,78.03596335450376,79.10759780175795,77.62018254229295,78.91207885742188,136616400
2020-02-05,80.06784744800166,80.37473974452539,78.93682550740823,79.55554962158203,118826800
2020-02-06,79.83273812473044,80.48858418594696,79.26103763808655,80.4861068725586,105425600
2020-02-07,79.97258917256441,80.22810820495764,78.88849378686976,79.39208984375,117684000
2020-02-10,77.94083856057252,79.7691650390625,77.85897647273852,79.7691650390625,109348800
2020-02-11,80.2777199667695,80.35214003964703,79.06461978390024,79.28788757324219,94323200
2020-02-12,79.74931528791934,81.1757580700274,79.74931528791934,81.1707992553711,113730400
2020-02-13,80.42408289518436,80.92767890022404,80.21569912455165,80.5927734375,94747600
